fishery,management_area,target,opening_year,sex,legal_status,size,new,old,total
TR19,bristol_bay,red_king_crab,2019,male,TRUE,92,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,93,1,1,2
TR19,bristol_bay,red_king_crab,2019,male,TRUE,94,3,1,4
TR19,bristol_bay,red_king_crab,2019,male,TRUE,96,2,0,2
TR19,bristol_bay,red_king_crab,2019,male,TRUE,97,3,1,4
TR19,bristol_bay,red_king_crab,2019,male,TRUE,98,1,1,2
TR19,bristol_bay,red_king_crab,2019,male,TRUE,99,1,0,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,100,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,101,1,2,3
TR19,bristol_bay,red_king_crab,2019,male,TRUE,102,0,4,4
TR19,bristol_bay,red_king_crab,2019,male,TRUE,103,1,0,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,105,3,1,4
TR19,bristol_bay,red_king_crab,2019,male,TRUE,107,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,108,3,0,3
TR19,bristol_bay,red_king_crab,2019,male,TRUE,109,2,1,3
TR19,bristol_bay,red_king_crab,2019,male,TRUE,112,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,113,0,3,3
TR19,bristol_bay,red_king_crab,2019,male,TRUE,117,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,118,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,119,1,0,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,123,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,126,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,132,0,1,1
TR19,bristol_bay,red_king_crab,2019,male,TRUE,135,0,1,1
